Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Red Tent,Anita Diamant,"",9780312353766,hardcover,to-read,2022/11/28,"","",0,"",,,,,,,,,"",,"",No
Parable of the Sower,Octavia E. Butler,"",9780446675505,paperback,to-read,2023/01/05,"","",0,"",,,,,,,,,"",,"",No
How to Win Friends and Influence People,Dale Carnegie,"","",digital,to-read,2022/09/28,"","",0,"",,,,,,,,,"",,becoming-arcane,No
Anxious People,Fredrik Backman,Neil Smith (Translator),9781501160837,hardcover,to-read,2022/11/23,"","",0,"",,,,,,,,,"",,"",No
The Woman in the Dunes,Kōbō Abe,"E. Dale Saunders (Translator), Machi Abe (Illustrator)",9780679733782,paperback,to-read,2022/12/06,"","",0,"",,,,,,,,,"",,"",No
Silence,Shūsaku Endō,"William Johnston, William Johnston (Translator)",9780800871864,paperback,to-read,2022/12/06,"","",0,"",,,,,,,,,"",,"",No
Consider the Lobster And Other Essays,David Foster Wallace,"",9780316156110,hardcover,to-read,2022/08/24,"","",0,"",,,,,,,,,"",,author-killed-self,No
The Alaskan Bootlegger's Bible,Leon W. Kania,"",,,to-read,2022/10/04,"","",0,"",,,,,,,,,"",,illegalcontroversial,No
Bleak House (with an Introduction by Edwin Percy Whipple),Charles Dickens,"",9781420955071,paperback,to-read,2022/11/25,"","",0,"",,,,,,,,,"",,"",No
No Longer Human,Osamu Dazai,Donald Keene (Translator),9780811204811,paperback,to-read,2022/12/16,"","",0,"",,,,,,,,,"",,meirl,No
The Stranger,Albert Camus,Matthew Ward (Translator),9780881032475,hardcover,to-read,2023/01/01,"","",0,"",,,,,,,,,"",,"",No
Senlin Ascends,Josiah Bancroft,"",9780316517911,paperback,to-read,2022/11/25,"","",0,"",,,,,,,,,"",,ordinary-people,No
Notes from Underground,Fyodor Dostoevsky,"Richard Pevear (Translator), Larissa Volokhonsky (Translator)",9780679734529,paperback,to-read,2022/10/05,"","",0,"",,,,,,,,,"",,loneliness,No
The Remains of the Day,Kazuo Ishiguro,"",9780571225385,paperback,to-read,2022/10/05,"","",0,"",,,,,,,,,"",,"ordinary-people, loneliness",No
Being and Nothingness: An Essay on Phenomenological Ontology,Jean-Paul Sartre,"",9780415278485,paperback,to-read,2022/11/28,"","",0,"",,,,,,,,,"",,philosophy,No
Tuesdays with Morrie,Mitch Albom,"",9780751529814,paperback,to-read,2022/11/29,"","",0,"",,,,,,,,,"",,"",No
Mr. Penumbra's 24-Hour Bookstore,Robin Sloan,"",9780374214913,hardcover,to-read,2022/11/25,"","",0,"",,,,,,,,,"",,"",No
Stoner,John Williams,John McGahern (Contributor),9781590171998,paperback,to-read,2022/10/05,"","",0,"",,,,,,,,,"",,loneliness,No
Cannery Row,John Steinbeck,"",9780142000687,paperback,to-read,2022/12/01,"","",0,"",,,,,,,,,"",,"",No
Paradise Lost,John Milton,"",9780140424393,paperback,to-read,2022/11/25,"","",0,"",,,,,,,,,"",,"",No
The Song of Achilles,Madeline Miller,"",9781408816035,hardcover,to-read,2022/11/23,"","",0,"",,,,,,,,,"",,"",No
The Alchemist,Paulo Coelho,Alan R. Clarke (Translator),9780061122415,paperback,to-read,2022/11/29,"","",0,"",,,,,,,,,"",,"",No
The Unconsoled,Kazuo Ishiguro,"",9780571225392,paperback,to-read,2022/12/06,"","",0,"",,,,,,,,,"",,"",No
The Left Hand of Darkness,Ursula K. Le Guin,"",9780441007318,paperback,to-read,2022/09/28,"","",0,"",,,,,,,,,"",,"",No
Hard-Boiled Wonderland and the End of the World,Haruki Murakami,Alfred Birnbaum (Translator),0679743464,paperback,to-read,2022/11/27,"","",0,"",,,,,,,,,"",,"",No
One Flew Over the Cuckoo's Nest,Ken Kesey,Robert Faggen,9780141187884,paperback,to-read,2023/01/03,"","",0,"",,,,,,,,,"",,"",No
Ham on Rye,Charles Bukowski,"",9780061177583,paperback,to-read,2022/11/01,"","",0,"",,,,,,,,,"",,"",No
